ISBN,Titre,Auteur,Categorie,Prix,DatePublication,Quantite
978-3-16-148410-0,Le Petit Prince,Antoine de Saint-Exupéry,Roman,12.99,1943-04-06,10
978-2-07-036822-8,1984,George Orwell,Science-Fiction,15.99,1949-06-08,0
978-0-7432-7356-5,Da Vinci Code,Dan Brown,Thriller,9.99,2003-03-18,5
978-1-4028-9462-6,Les Misérables,Victor Hugo,Classique,8.50,1862-01-01,2
978-0-452-28423-4,Crime et Châtiment,Fyodor Dostoevsky,Classique,10.75,1866-11-01,3
978-0-06-112008-4,To Kill a Mockingbird,Harper Lee,Roman,11.50,1960-07-11,7
978-0-14-143960-0,Pride and Prejudice,Jane Austen,Classique,9.25,1813-01-28,4
978-0-7434-6385-9,Angels and Demons,Dan Brown,Thriller,8.99,2000-05-01,6
978-1-250-11975-0,The Night Circus,Erin Morgenstern,Fantasy,14.99,2011-09-13,9
978-0-525-47529-4,Where the Crawdads Sing,Delia Owens,Roman,16.50,2018-08-14,12
978-1-84195-431-5,The Alchemist,Paulo Coelho,Roman,13.20,1988-05-01,11
978-0-15-601219-5,Life of Pi,Yann Martel,Aventure,10.99,2001-09-11,8
978-0-316-76948-7,The Catcher in the Rye,J.D. Salinger,Roman,7.99,1951-07-16,5
978-1-250-12457-1,Circe,Madeline Miller,Fantasy,12.75,2018-04-10,7
978-0-7432-7355-8,Inferno,Dan Brown,Thriller,9.50,2013-05-14,6
978-0-06-231500-7,The Giver of Stars,Jojo Moyes,Roman,14.25,2019-10-03,10
978-0-14-028009-8,Brave New World,Aldous Huxley,Science-Fiction,11.99,1932-09-01,3
978-0-06-085052-4,The Book Thief,Markus Zusak,Roman,13.50,2005-03-14,4
978-0-679-73232-6,Memoirs of a Geisha,Arthur Golden,Roman,10.99,1997-09-27,8
978-0-141-43954-6,The Great Gatsby,F. Scott Fitzgerald,Classique,8.75,1925-04-10,6
978-0-452-28423-5,Moby Dick,Herman Melville,Classique,9.99,1851-10-18,5
978-0-385-53324-6,Shantaram,Gregory David Roberts,Aventure,14.99,2003-10-01,3
978-0-06-207348-8,A Man Called Ove,Fredrik Backman,Roman,12.25,2012-08-27,7
978-0-14-303995-2,Into the Wild,Jon Krakauer,Aventure,10.50,1996-01-13,9
978-1-5011-8086-9,The Silent Patient,Alex Michaelides,Thriller,15.99,2019-02-05,4
978-0-593-13572-8,Project Hail Mary,Andy Weir,Science-Fiction,18.99,2021-05-04,10
978-0-8129-7403-6,The Road,Cormac McCarthy,Post-Apocalyptique,11.25,2006-09-26,6
978-0-553-57340-3,Dune,Frank Herbert,Science-Fiction,13.75,1965-08-01,5
978-0-312-61176-5,Mistborn,Brandon Sanderson,Fantasy,14.50,2006-07-17,8
978-0-7432-7354-1,Digital Fortress,Dan Brown,Thriller,9.75,1998-07-01,7
